OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Medium-High_mean	Medium_mean	Low_mean	Trace-Low_mean	Trace_mean
D_0__Bacteria;D_1__Chlamydiae	12.3258371736	0.0150858046757	0.559861081342	0.769376038463	0.0	6.48485578779e-05	8.5230461508e-05	0.000147151203751	0.00017088346448
D_0__Bacteria;D_1__SBR1093	11.4490061566	0.0219553365232	0.559861081342	1.0	0.0	0.0	0.0	3.54301540598e-05	2.28459251484e-05
D_0__Bacteria;D_1__Planctomycetes	9.93468509985	0.0415423929764	0.596949426733	1.0	0.0321027287319	0.0424882831107	0.0552961587622	0.0512929151074	0.046766290081
D_0__Bacteria;D_1__Spirochaetae	9.25410315627	0.0550526118692	0.596949426733	1.0	0.0	6.97958708427e-06	9.10397149544e-05	4.03873864444e-05	2.89424017693e-05
D_0__Bacteria;D_1__Chlorobi	8.49560675883	0.0750205056395	0.596949426733	1.0	0.0	0.00110333622792	0.000992469320822	0.000366339605214	0.000757367263241
D_0__Bacteria;D_1__Fibrobacteres	7.80626728111	0.0989382736923	0.596949426733	1.0	0.0	0.00012694195074	0.000325531566146	0.000166980133289	0.000129686902264
D_0__Bacteria;D_1__BRC1	7.51594470046	0.111008250724	0.596949426733	1.0	0.0	0.000221752737168	0.000321018139263	8.80987809095e-05	0.000310590627606
D_0__Bacteria;D_1__Ignavibacteriae	7.44742997596	0.114049875231	0.596949426733	1.0	0.0	1.74426717459e-05	5.5503094605e-06	1.55882280702e-05	1.31534858604e-05
D_0__Bacteria;D_1__PAUC34f	7.18218390805	0.126568190621	0.596949426733	1.0	0.0	0.0	0.0	1.65349383247e-05	1.294913257e-06
D_0__Bacteria;D_1__TM6 (Dependentiae)	6.6174500768	0.157538880194	0.596949426733	1.0	0.0	0.000641758293153	0.000972153059388	0.000914787213112	0.000915452627147
D_0__Bacteria;D_1__Tenericutes	6.48839185145	0.165523261579	0.596949426733	1.0	0.0	2.12650318198e-05	3.07600975062e-05	9.44760786758e-06	0.000328862601711
D_0__Bacteria;D_1__Chloroflexi	6.35883256528	0.173905246027	0.596949426733	1.0	0.016051364366	0.036895263164	0.0248451586034	0.038931878826	0.0332569200284
D_0__Bacteria;D_1__Firmicutes	6.28712749616	0.178707029304	0.596949426733	1.0	0.00321027287319	0.00968860546722	0.00629635269564	0.0128376628591	0.00979968920754
D_0__Archaea;D_1__Parvarchaeota	6.28563218391	0.178808421022	0.596949426733	1.0	0.0	0.0	0.0	9.92096299481e-06	3.48045723264e-06
D_0__Bacteria;D_1__Elusimicrobia	6.0911827957	0.192441387264	0.596949426733	1.0	0.0	0.00187146910722	0.00251866318584	0.00157661261365	0.00214887206959
D_0__Archaea;D_1__Euryarchaeota	6.0153373268	0.19800579682	0.596949426733	1.0	0.0	4.42668569811e-05	3.27473043921e-06	9.18856219274e-05	7.10308351406e-05
D_0__Bacteria;D_1__Saccharibacteria	6.00221198157	0.198983142244	0.596949426733	1.0	0.0	0.000241303575117	0.000183280603364	8.14848055796e-05	0.000152924670794
D_0__Bacteria;D_1__Omnitrophica	5.42592933948	0.246317479048	0.69789952397	1.0	0.0	0.000178171399703	0.000105442882278	0.000291238595627	0.000157336488831
D_0__Archaea;D_1__Thaumarchaeota	5.14721966206	0.272522639128	0.731508136606	1.0	0.0192616372392	0.0194755670207	0.0180306982354	0.0491076173491	0.0297587448749
D_0__Bacteria;D_1__Gemmatimonadetes	4.67188940092	0.322649465014	0.797499611561	1.0	0.0304975922953	0.0306914984721	0.0224247258055	0.0331623270077	0.0362706078825
D_0__Bacteria;D_1__Verrucomicrobia	4.62150537634	0.328382192996	0.797499611561	1.0	0.0930979133226	0.0970264289079	0.134086385248	0.101880851214	0.129041564939
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	4.31208109306	0.365414740114	0.830108193643	1.0	0.0	0.0	1.27265808641e-06	2.64559013195e-05	5.34327044174e-06
D_0__Bacteria;D_1__FBP	4.05823002098	0.398182630088	0.830108193643	1.0	0.0	9.86050487796e-05	0.000146584864816	3.4720121369e-05	6.82001600157e-05
D_0__Bacteria;D_1__Peregrinibacteria	3.73333768707	0.443295730003	0.830108193643	1.0	0.0	3.53811283788e-05	1.60346373091e-05	6.14062020264e-06	2.61636609431e-05
D_0__Bacteria;D_1__Nitrospirae	3.62930875576	0.45849086894	0.830108193643	1.0	0.0176565008026	0.0145494513233	0.015168307369	0.0282078229641	0.0172480104629
D_0__Bacteria;D_1__Candidatus Berkelbacteria	3.61947732333	0.459945541012	0.830108193643	1.0	0.0	0.0	3.72012820289e-06	0.0	7.27151094726e-07
D_0__Bacteria;D_1__Deinococcus-Thermus	3.56543909348	0.467998193556	0.830108193643	1.0	0.0	4.0974410099e-06	0.0	3.07031010132e-06	8.40155254845e-06
D_0__Bacteria;D_1__Hydrogenedentes	3.38113959184	0.496179856194	0.830108193643	1.0	0.0	6.22726546239e-05	5.6759157771e-05	6.14062020264e-06	2.61636643241e-05
D_0__Bacteria;D_1__Parcubacteria	3.36904444021	0.498067608032	0.830108193643	1.0	0.0	8.30244906074e-05	6.99832088904e-05	3.44834438054e-05	5.79813775555e-05
D_0__Bacteria;D_1__Bacteroidetes	3.34758832565	0.501427792819	0.830108193643	1.0	0.121990369181	0.0944707578623	0.10339151277	0.0651834710563	0.0792556253958
D_0__Bacteria;D_1__Lentisphaerae	3.28571428571	0.511198883587	0.830108193643	1.0	0.0	0.0	1.27265808641e-06	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes	3.17161290323	0.529528114644	0.830108193643	1.0	0.0	0.00099785606652	0.00101956119321	0.000664678527749	0.00100613635715
D_0__Bacteria;D_1__SR1 (Absconditabacteria)	3.05971423169	0.54788257694	0.830108193643	1.0	0.0	1.70855098744e-05	8.66123956297e-06	0.0	7.85134824757e-06
D_0__Bacteria;D_1__WS2	3.02647036182	0.553405462429	0.830108193643	1.0	0.0	1.36032503521e-05	1.40035336702e-05	3.07031010132e-06	2.16492669045e-05
D_0__Bacteria;D_1__Synergistetes	2.73547315742	0.603021691676	0.878688750727	1.0	0.0	2.80792790364e-07	1.27593171724e-06	3.07031010132e-06	1.49162452827e-06
D_0__Bacteria;D_1__BJ-169	2.22207100902	0.694990628991	0.890017672098	1.0	0.0	5.61585580729e-07	1.4462298956e-06	3.07031010132e-06	8.88079770177e-06
D_0__Bacteria;D_1__Cyanobacteria	2.22175115207	0.695049126936	0.890017672098	1.0	0.0016051364366	0.00162851360898	0.00248246122239	0.00232640683058	0.00224169454883
D_0__Bacteria;D_1__Acidobacteria	2.19496159754	0.69995180676	0.890017672098	1.0	0.170144462279	0.17938807778	0.184499722634	0.190233242642	0.182991610434
D_0__Bacteria;D_1__Fusobacteria	2.13564201885	0.710827418697	0.890017672098	1.0	0.0	5.69811392429e-06	6.0762995247e-06	1.84218606079e-05	1.79597457291e-06
D_0__Bacteria;D_1__Microgenomates	2.11520870748	0.714578812883	0.890017672098	1.0	0.0	1.45022694045e-05	1.15555402141e-05	6.37729776626e-06	2.64247426943e-05
D_0__Bacteria;D_1__Proteobacteria	2.11016897081	0.715504403059	0.890017672098	1.0	0.329052969502	0.296374076114	0.287872020589	0.257072073943	0.282613790685
D_0__Bacteria;D_1__WS1	1.93563218391	0.747596603287	0.89064476495	1.0	0.0	1.40396395182e-07	0.0	0.0	9.94416352182e-07
D_0__Bacteria;D_1__Gracilibacteria	1.8516445089	0.76302137571	0.89064476495	1.0	0.0	8.42378371093e-07	8.8026718609e-06	1.32279506597e-05	6.87382692841e-06
D_0__Archaea;D_1__Bathyarchaeota	1.70177741318	0.790394729348	0.89064476495	1.0	0.0	1.40396395182e-07	0.0	0.0	1.19108884249e-06
D_0__Bacteria;D_1__FCPU426	1.67331238418	0.79555956176	0.89064476495	1.0	0.0	7.41454734188e-05	0.000118173578502	0.0	4.91850498722e-05
D_0__Bacteria;D_1__Actinobacteria	1.63035330261	0.803326650739	0.89064476495	1.0	0.152487961477	0.160526002281	0.124536985611	0.146907587707	0.132621293919
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	1.32564592174	0.857009543926	0.929946526388	1.0	0.0	1.80164223086e-05	1.44938662423e-05	9.44760786758e-06	2.1891814396e-05
D_0__Bacteria;D_1__Latescibacteria	1.00786482335	0.908601089825	0.946930519755	1.0	0.00642054574639	0.00589486217515	0.00823644710456	0.0105049567095	0.00630698598577
D_0__Bacteria;D_1__Aminicenantes	1.0	0.909795989569	0.946930519755	1.0	0.0	0.0	0.0	0.0	7.43085588598e-07
D_0__Bacteria;D_1__Tectomicrobia	0.818556067588	0.935943195132	0.954662059035	1.0	0.00642054574639	0.00493668290155	0.00569697308246	0.00766692274076	0.00526502009529
D_0__Bacteria;D_1__RsaHf231	0.548158932363	0.968646506871	0.968646506871	1.0	0.0	1.40396395182e-07	1.99879872197e-06	0.0	1.3364957046e-06