OTU	Test-Statistic	P	FDR_P	Bonferroni_P	bushes_mean	none_mean	mycelium_mean	tree_mean	shrubs_mean	grass_mean
D_0__Bacteria;D_1__Chlorobi	13.1250868486	0.0222343457472	0.608198118103	1.0	0.0014190067181	0.000727347074049	0.0	0.000362296591956	0.000654485914111	0.00107861287288
D_0__Bacteria;D_1__Fibrobacteres	12.9500992556	0.0238509065923	0.608198118103	1.0	0.000158804879072	0.000111704424115	0.0	0.000300890389929	0.000114361710515	0.00031877853789
D_0__Bacteria;D_1__Chlamydiae	11.0451612903	0.0504918841638	0.710502799791	1.0	0.000147305390178	0.000139013888525	0.0	0.000128953024255	0.000188701871649	7.55195851209e-05
D_0__Bacteria;D_1__Elusimicrobia	9.47602977667	0.0915182196613	0.710502799791	1.0	0.00223725452365	0.00179191490137	0.0	0.00147988946884	0.00230297853286	0.00270126365123
D_0__Bacteria;D_1__Parcubacteria	9.38312964294	0.094724134297	0.710502799791	1.0	6.81217471866e-06	9.15881860233e-05	0.0	4.91249616211e-05	5.28896745706e-05	4.07310454999e-05
D_0__Bacteria;D_1__Planctomycetes	9.36677419355	0.0952991244405	0.710502799791	1.0	0.0510014902176	0.0457758270618	0.0321027287319	0.0421737795517	0.0459199614757	0.0543415486438
D_0__Bacteria;D_1__Gemmatimonadetes	9.30444168734	0.0975199921282	0.710502799791	1.0	0.0189005619583	0.0390343566136	0.0304975922953	0.0362972060178	0.0327828811115	0.0219193717228
D_0__Bacteria;D_1__Saccharibacteria	8.2564764268	0.142655688956	0.823632529768	1.0	4.93851114649e-05	0.000156584160322	0.0	0.00011667178385	0.000209151098644	0.000206191273502
D_0__Bacteria;D_1__Firmicutes	8.20397022333	0.145346917018	0.823632529768	1.0	0.00748963902617	0.0112367837794	0.00321027287319	0.010211851397	0.00932500385081	0.00591172777512
D_0__Bacteria;D_1__Fusobacteria	7.4607991159	0.18856277703	0.836303210214	1.0	0.0	4.26386063193e-06	0.0	3.68437212158e-05	0.0	5.31676208411e-06
D_0__Bacteria;D_1__Armatimonadetes	7.23426799007	0.203792355603	0.836303210214	1.0	0.00058922156071	0.00110296976049	0.0	0.000343874731348	0.000976054856837	0.000975801509313
D_0__Bacteria;D_1__Synergistetes	7.00108096521	0.220559927597	0.836303210214	1.0	0.0	1.82910245199e-06	0.0	6.14062020264e-06	0.0	1.11644025258e-06
D_0__Bacteria;D_1__TM6 (Dependentiae)	6.95992555831	0.223637798052	0.836303210214	1.0	0.000600708428623	0.000846467749451	0.0	0.000890389929383	0.00100055365517	0.000934571363693
D_0__Bacteria;D_1__Deinococcus-Thermus	6.88189147963	0.229573430255	0.836303210214	1.0	0.0	9.80209632143e-06	0.0	6.14062020264e-06	0.0	2.38540513721e-06
D_0__Bacteria;D_1__Omnitrophica	6.43086848635	0.266520749072	0.89399188268	1.0	0.000117506858651	0.00021460458818	0.0	0.000165796745471	0.000109511209821	0.000104156942494
D_0__Bacteria;D_1__BRC1	6.27394540943	0.280468041625	0.89399188268	1.0	0.00054241152386	0.000286012511233	0.0	0.00011667178385	0.000255276844506	0.000249363242057
D_0__Bacteria;D_1__SBR1093	6.05803937487	0.300612339613	0.90183701884	1.0	0.0	2.74041550796e-05	0.0	2.45624808106e-05	6.54653769987e-06	0.0
D_0__Bacteria;D_1__FBP	5.71104720824	0.335358089846	0.90478080956	1.0	7.53588940138e-05	0.000127263964777	0.0	4.29843414185e-05	8.49377329979e-05	4.23424505052e-05
D_0__Bacteria;D_1__Tenericutes	5.65529398513	0.341217589551	0.90478080956	1.0	0.00123415233059	9.24670568582e-05	0.0	1.22812404053e-05	2.19019898308e-05	0.000185164061644
D_0__Bacteria;D_1__Hydrogenedentes	5.52863648352	0.354816003749	0.90478080956	1.0	2.89485873089e-05	6.55878018648e-05	0.0	1.22812404053e-05	8.41538741578e-06	1.85646008049e-05
D_0__Bacteria;D_1__Cyanobacteria	5.28347394541	0.382272914539	0.91335203314	1.0	0.00293085929157	0.00188293729389	0.0016051364366	0.00390543444888	0.00196791180709	0.0024641414509
D_0__Bacteria;D_1__Peregrinibacteria	5.10410197802	0.403308110658	0.91335203314	1.0	6.81217471866e-06	2.09842897463e-05	0.0	1.22812404053e-05	2.52875082375e-05	3.35931699847e-05
D_0__Bacteria;D_1__RsaHf231	4.59872366487	0.466784178163	0.91335203314	1.0	7.23714682723e-06	4.82701837723e-07	0.0	0.0	2.79831821076e-06	0.0
D_0__Bacteria;D_1__Spirochaetae	4.30747113164	0.506048552251	0.91335203314	1.0	6.81217471866e-06	2.01332508307e-05	0.0	6.7546822229e-05	5.04637440022e-05	7.39830733816e-05
D_0__Bacteria;D_1__Microgenomates	4.29521230769	0.507741403872	0.91335203314	1.0	7.23714682723e-06	2.83094629986e-05	0.0	6.14062020264e-06	2.07649890813e-05	8.75787327775e-06
D_0__Bacteria;D_1__Ignavibacteriae	4.1800351237	0.523797339568	0.91335203314	1.0	0.0	1.24727727424e-05	0.0	2.45624808106e-05	1.22141595109e-05	1.33456181227e-05
D_0__Bacteria;D_1__Proteobacteria	4.15196029777	0.527751447882	0.91335203314	1.0	0.285296703134	0.295108128166	0.329052969502	0.261430764507	0.297016067274	0.262101919943
D_0__Bacteria;D_1__Bacteroidetes	4.12744416873	0.531216970206	0.91335203314	1.0	0.117078264124	0.085664648878	0.121990369181	0.0918206938901	0.0786095220254	0.0853288042595
D_0__Archaea;D_1__Euryarchaeota	4.08125891897	0.537777026755	0.91335203314	1.0	1.36243494373e-05	9.9802955248e-05	0.0	1.84218606079e-05	1.90208188191e-05	6.90976214273e-06
D_0__Bacteria;D_1__BJ-169	3.82232152943	0.575270447139	0.91335203314	1.0	0.0	2.56753158366e-06	0.0	6.14062020264e-06	1.72563593982e-05	3.31047439011e-06
D_0__Bacteria;D_1__SR1 (Absconditabacteria)	3.67485383306	0.597110498503	0.91335203314	1.0	6.81217471866e-06	1.27434796484e-05	0.0	0.0	1.16143034913e-05	3.30816846291e-06
D_0__Bacteria;D_1__FCPU426	3.64279708447	0.601899169879	0.91335203314	1.0	0.0	5.79520855159e-05	0.0	0.0	7.69287369123e-05	9.97121710526e-05
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	3.54911105293	0.615969880088	0.91335203314	1.0	2.0436524156e-05	1.25985485167e-05	0.0	1.22812404053e-05	2.58655187739e-05	2.40685742011e-05
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	3.09964978364	0.684625967292	0.91335203314	1.0	0.0	7.5899626415e-06	0.0	0.0	6.87826898512e-06	1.11357582561e-06
D_0__Bacteria;D_1__Chloroflexi	2.99196029777	0.701225397592	0.91335203314	1.0	0.0301755906424	0.0324678179821	0.016051364366	0.0389008289837	0.0322495887895	0.0315660495173
D_0__Bacteria;D_1__Candidatus Berkelbacteria	2.96459897772	0.705443786037	0.91335203314	1.0	0.0	8.39020493915e-07	0.0	0.0	0.0	3.25511217753e-06
D_0__Bacteria;D_1__Lentisphaerae	2.75	0.73846117876	0.91335203314	1.0	0.0	0.0	0.0	0.0	0.0	1.11357582561e-06
D_0__Bacteria;D_1__WS2	2.72215668858	0.742727640421	0.91335203314	1.0	2.12864683731e-05	1.95360580485e-05	0.0	6.14062020264e-06	1.74783582973e-05	1.33558135196e-05
D_0__Archaea;D_1__Parvarchaeota	2.70557029178	0.745266355078	0.91335203314	1.0	0.0	5.54221419071e-06	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__PAUC34f	2.70557029178	0.745266355078	0.91335203314	1.0	0.0	4.03796734649e-06	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__WS1	2.70557029178	0.745266355078	0.91335203314	1.0	0.0	1.20140209682e-06	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Gracilibacteria	2.59709098009	0.76180720852	0.91335203314	1.0	0.0	1.03304896365e-05	0.0	0.0	4.16328399842e-06	5.03513935764e-06
D_0__Bacteria;D_1__Tectomicrobia	2.3658808933	0.796544052093	0.91335203314	1.0	0.00519608624849	0.00476863683401	0.00642054574639	0.00434141848327	0.00514513775685	0.00705247679866
D_0__Bacteria;D_1__Actinobacteria	2.3423325062	0.800029823398	0.91335203314	1.0	0.131572573866	0.130877684826	0.152487961477	0.176886705557	0.13606895607	0.141967119812
D_0__Archaea;D_1__Bathyarchaeota	2.30250520603	0.80589885277	0.91335203314	1.0	0.0	6.27700355175e-07	0.0	0.0	2.08164199921e-06	0.0
D_0__Bacteria;D_1__Verrucomicrobia	1.8699751861	0.866828026622	0.945122410511	1.0	0.110391380452	0.114371620034	0.0930979133226	0.107786306417	0.126342605251	0.139501107971
D_0__Bacteria;D_1__Acidobacteria	1.83861042184	0.870995162628	0.945122410511	1.0	0.188973250119	0.180618197601	0.170144462279	0.163051888241	0.176798180825	0.192594153464
D_0__Bacteria;D_1__Aminicenantes	1.30769230769	0.934138159057	0.980872297802	1.0	0.0	8.57406448382e-07	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Nitrospirae	1.00816377171	0.961904624549	0.980872297802	1.0	0.0141078162451	0.0169123298177	0.0176565008026	0.0228431071538	0.0174941770808	0.0169589122992
D_0__Bacteria;D_1__Latescibacteria	0.953449131514	0.966232361414	0.980872297802	1.0	0.00425093171398	0.00628948706405	0.00642054574639	0.00526865213387	0.0069874714451	0.00903411739915
D_0__Archaea;D_1__Thaumarchaeota	0.737071960298	0.980872297802	0.980872297802	1.0	0.0253377178213	0.0288761094663	0.0192616372392	0.0308320540375	0.0270139522115	0.0220278070968